cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Barrow County,Georgia",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Barrow County,Georgia,0,0,1,0,0,0,0,0,0,0
"Barry County,Michigan",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Barry County,Michigan,0,0,1,0,2,2,1,3,6,8
"Barry County,Missouri",0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,Barry County,Missouri,0,0,0,0,0,0,0,0,0,0
"Bartholomew County,Indiana",2.0,3.0,4.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,Bartholomew County,Indiana,0,0,0,1,0,0,1,2,2,1
"Barton County,Kansas",2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Barton County,Kansas,0,0,0,0,0,0,1,0,0,0
"Bartow County,Georgia",0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,5.0,Bartow County,Georgia,0,0,0,0,0,0,0,0,0,0
"Bastrop County,Texas",0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,Bastrop County,Texas,0,0,0,1,0,0,0,0,0,0
"Bates County,Missouri",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bates County,Missouri,0,0,0,0,0,0,0,0,0,0
"Baxter County,Arkansas",0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,Baxter County,Arkansas,0,0,0,0,0,0,0,0,0,0
"Bay County,Florida",28.0,5.0,5.0,4.0,3.0,13.0,6.0,5.0,3.0,3.0,Bay County,Florida,0,1,0,4,2,1,2,2,0,0
"Bay County,Michigan",0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,Bay County,Michigan,0,0,0,0,1,0,0,1,4,0
"Bayfield County,Wisconsin",0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,Bayfield County,Wisconsin,24,29,21,9,11,19,20,22,4,12
"Beadle County,South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,Beadle County,South Dakota,0,1,0,0,0,0,1,0,0,0
"Beaufort County,North Carolina",1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Beaufort County,North Carolina,0,0,0,0,0,0,0,0,0,5
"Beaufort County,South Carolina",0.0,1.0,1.0,5.0,3.0,1.0,22.0,8.0,17.0,10.0,Beaufort County,South Carolina,2,3,2,0,1,0,0,1,1,7
"Beauregard Parish,Louisiana",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Beauregard Parish,Louisiana,0,0,0,0,0,0,1,0,0,0
"Beaver County,Pennsylvania",0.0,0.0,2.0,0.0,4.0,4.0,6.0,8.0,8.0,9.0,Beaver County,Pennsylvania,5,21,24,73,67,106,188,211,254,150
"Beaverhead County,Montana",0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,Beaverhead County,Montana,0,0,0,0,0,0,0,0,0,0
"Becker County,Minnesota",0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,Becker County,Minnesota,35,26,17,27,32,24,38,51,34,16
"Beckham County,Oklahoma",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Beckham County,Oklahoma,0,0,1,0,0,0,0,0,0,0
"Bedford County,Pennsylvania",0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,2.0,Bedford County,Pennsylvania,22,31,37,54,68,82,171,175,133,114
"Bedford County,Tennessee",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Bedford County,Tennessee,0,0,0,0,0,0,0,0,0,0
"Bedford County,Virginia",0.0,0.0,3.0,2.0,8.0,0.0,1.0,2.0,0.0,0.0,Bedford County,Virginia,5,11,19,10,5,10,14,6,5,22
"Bee County,Texas",0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,Bee County,Texas,0,0,0,0,0,0,0,1,0,0
"Belknap County,New Hampshire",7.0,61.0,44.0,26.0,47.0,48.0,20.0,11.0,11.0,0.0,Belknap County,New Hampshire,34,42,29,47,25,20,36,61,41,72
"Bell County,Kentucky",0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,Bell County,Kentucky,0,0,0,0,0,0,0,0,0,0
"Bell County,Texas",0.0,2.0,0.0,5.0,5.0,19.0,16.0,3.0,7.0,1.0,Bell County,Texas,0,0,0,1,1,1,0,0,0,0
"Belmont County,Ohio",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Belmont County,Ohio,0,2,0,0,0,2,4,23,21,28
"Beltrami County,Minnesota",1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,Beltrami County,Minnesota,79,61,26,33,28,33,40,54,35,40
"Benewah County,Idaho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Benewah County,Idaho,0,0,1,0,0,0,0,0,0,0
"Bennett County,South Dakota",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bennett County,South Dakota,0,0,0,0,0,0,0,0,0,0
"Bennington County,Vermont",0.0,0.0,4.0,5.0,12.0,11.0,10.0,4.0,22.0,7.0,Bennington County,Vermont,91,174,128,168,108,144,107,140,79,83
"Benton County,Arkansas",1.0,4.0,12.0,6.0,5.0,7.0,16.0,21.0,15.0,11.0,Benton County,Arkansas,0,0,0,0,0,0,0,0,0,0
"Benton County,Indiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Benton County,Indiana,1,0,0,0,0,0,0,0,0,1
"Benton County,Iowa",0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Benton County,Iowa,0,2,0,4,0,14,3,9,5,5
"Benton County,Minnesota",0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,Benton County,Minnesota,19,12,13,9,11,11,8,12,7,11
"Benton County,Missouri",0.0,0.0,2.0,1.0,8.0,4.0,2.0,1.0,6.0,7.0,Benton County,Missouri,0,0,0,0,0,0,0,0,0,0
"Benton County,Oregon",1.0,2.0,1.0,6.0,7.0,8.0,4.0,2.0,6.0,15.0,Benton County,Oregon,5,3,5,1,1,0,3,4,3,5
"Benton County,Washington",1.0,0.0,8.0,4.0,0.0,1.0,23.0,28.0,6.0,13.0,Benton County,Washington,0,0,0,0,0,1,1,0,0,1
"Benzie County,Michigan",5.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,Benzie County,Michigan,0,1,0,0,0,2,3,0,2,6
"Bergen County,New Jersey",2.0,17.0,41.0,66.0,43.0,80.0,55.0,63.0,56.0,47.0,Bergen County,New Jersey,166,221,183,241,212,275,279,303,232,196
"Berkeley County,South Carolina",0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,Berkeley County,South Carolina,2,1,0,2,0,0,0,1,0,0
"Berkeley County,West Virginia",4.0,1.0,2.0,4.0,6.0,3.0,4.0,1.0,1.0,2.0,Berkeley County,West Virginia,73,60,43,43,37,31,30,63,46,23
